map_idx,method,step,coverage
1173,baseline,3,0.574381004905518
1173,baseline,4,0.7214594641664973
1173,baseline,5,0.8376534788540245
1173,baseline,6,0.976575425967316
1431,diffusion,1,0.262576653070285
1431,diffusion,2,0.4617497710813286
1431,diffusion,3,0.5510141790837704
1431,diffusion,4,0.6310108493576403
1431,diffusion,5,0.8168650628485807
1431,diffusion,6,0.8787702211493105
1431,diffusion,7,0.8792141846333139
1431,diffusion,8,0.8794361663753156
1431,diffusion,9,0.8924498460001665
1431,diffusion,10,0.8929770526374206
1431,diffusion,11,0.9221676517106469
1431,diffusion,12,0.9221676517106469
1431,diffusion,13,0.9221676517106469
1431,diffusion,14,0.9221676517106469
1431,diffusion,15,0.9221676517106469
1431,diffusion,16,0.9221676517106469
1431,diffusion,17,0.9221676517106469
1431,diffusion,18,0.9221676517106469
1431,diffusion,19,0.9221676517106469
1431,diffusion,20,0.9221676517106469
1431,baseline,1,0.262576653070285
1431,baseline,2,0.42112711229501376
1431,baseline,3,0.5436332861622132
1431,baseline,4,0.6314548128416437
1431,baseline,5,0.7054857237992175
1431,baseline,6,0.8808790476983268
1431,baseline,7,0.9279114292849413
1431,baseline,8,0.9304919670357114
1431,baseline,9,0.9308526873664641
1431,baseline,10,0.9308804350842144
1431,baseline,11,0.9314631371569688
1431,baseline,12,0.9317683620522212
1431,baseline,13,0.9317683620522212
1431,baseline,14,0.9317683620522212
1431,baseline,15,0.9317683620522212
1431,baseline,16,0.9317683620522212
1431,baseline,17,0.9317683620522212
1431,baseline,18,0.9317683620522212
1431,baseline,19,0.9317683620522212
1431,baseline,20,0.9317683620522212
1700,diffusion,1,0.2846982218883045
1700,diffusion,2,0.5720510894064613
1700,diffusion,3,0.7996994740796394
1700,diffusion,4,0.8783370899073378
1700,diffusion,5,0.8783871775607313
1700,diffusion,6,0.8852992737290258
1700,diffusion,7,0.9090909090909091
1700,diffusion,8,0.9092912597044829
1700,diffusion,9,0.9093914350112697
1700,diffusion,10,0.9093914350112697
1700,diffusion,11,0.9093914350112697
1700,diffusion,12,0.9093914350112697
1700,diffusion,13,0.9093914350112697
1700,diffusion,14,0.9093914350112697
1700,diffusion,15,0.9093914350112697
1700,diffusion,16,0.9093914350112697
1700,diffusion,17,0.9093914350112697
1700,diffusion,18,0.9093914350112697
1700,diffusion,19,0.9093914350112697
1700,diffusion,20,0.9093914350112697
1700,baseline,1,0.2846982218883045
1700,baseline,2,0.608564988730278
1700,baseline,3,0.7021287252692211
1700,baseline,4,0.8845980465815176
1700,baseline,5,0.9639368895567243
1703,diffusion,1,0.15581454269065112
1703,diffusion,2,0.2539903724347606
1703,diffusion,3,0.30235621991385864
1703,diffusion,4,0.4613123891563213
1703,diffusion,5,0.6755763871294654
1703,diffusion,6,0.8179630098809222
1703,diffusion,7,0.8997973144160122
1703,diffusion,8,0.9447428426653154
1703,diffusion,9,0.9511021028629338
1703,baseline,1,0.15581454269065112
1703,baseline,2,0.23711679756777299
1703,baseline,3,0.25188750950088673
1703,baseline,4,0.3475804408411452
1703,baseline,5,0.5935900684063846
1703,baseline,6,0.6671395996959716
1703,baseline,7,0.8158094755510514
1703,baseline,8,0.9174309602229541
1703,baseline,9,0.9552571573346845
1747,diffusion,1,0.2800483675937122
1747,diffusion,2,0.48498186215235795
1747,diffusion,3,0.6088512696493349
1747,diffusion,4,0.9550665054413543
1747,baseline,1,0.2800483675937122
1747,baseline,2,0.4392261185006046
1747,baseline,3,0.5854897218863362
1747,baseline,4,0.9368319226118501
1747,baseline,5,0.9826360338573156
1823,diffusion,1,0.12986358782163654
1823,diffusion,2,0.23399625219125914
1823,diffusion,3,0.35370448729573434
1823,diffusion,4,0.42263595881440286
1823,diffusion,5,0.5404098410203712
1823,diffusion,6,0.6615285417800076
1823,diffusion,7,0.7192165870761047
1823,diffusion,8,0.817022305506861
1823,diffusion,9,0.9198855507868383
1823,diffusion,10,0.9651010497894377
1823,baseline,1,0.12986358782163654
1823,baseline,2,0.23399625219125914
1823,baseline,3,0.35370448729573434
1823,baseline,4,0.42263595881440286
1823,baseline,5,0.5404098410203712
1823,baseline,6,0.6813959580084225
1823,baseline,7,0.7856092204154829
1823,baseline,8,0.8939934312599488
1823,baseline,9,0.9429567390034053
1823,baseline,10,0.970299623204175
2051,diffusion,1,0.09606314370969295
2051,diffusion,2,0.12400134757917028
2051,diffusion,3,0.27324574068726537
2051,diffusion,4,0.4138030609298296
2051,diffusion,5,0.5142939647704302
2051,diffusion,6,0.6973481567042064
